e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15
-1.7580993,2.3640878,8.427932,5.621867,8.894261,2.0818279,-1.7580993,1.4697056,1.8134274,2.3830264,6.6378837,2.158009,6.3357177,-1.7570341,2.472055
-1.7580993,0.75728804,5.3211927,-1.4266467,1.7660084,5.1634035,-1.7580993,7.107036,0.9258545,9.60391,6.4043818,4.1352725,3.5261157,-1.7522972,3.649897
-1.7580993,2.0382502,10.849489,7.8146358,3.9993987,1.4206558,-1.7580993,10.070205,0.7048435,9.922229,2.449001,0.488947,5.9982986,-1.7580988,0.35584807
-1.7580993,2.2275572,2.4992676,1.2549173,16.55673,3.062413,-1.7580993,4.764221,0.0465333,1.0237476,7.662173,2.2190466,5.138204,-1.7579138,6.4161897
-1.7580993,6.0319734,7.757912,3.2547083,8.193309,4.2444067,-1.7580981,2.847471,0.35388002,-0.8107229,6.4300637,2.5900748,3.823268,-1.7578771,9.389104
-1.7580826,2.8836296,4.0727687,3.3625495,13.091769,2.5438316,-1.7580993,5.121011,0.85452276,1.0973285,5.8669424,2.221983,2.740611,-1.7573954,1.2006345
-1.7580993,3.3643925,10.184886,7.4749455,10.100777,1.7907063,-1.7580993,1.1821768,-0.64728785,4.2430677,5.9017854,2.784433,8.538844,-1.7580129,1.5442688
-1.7561451,4.2604237,0.30335903,4.60131,8.886624,2.6977377,-1.7580993,4.6077843,1.4652349,1.5534331,2.5455756,-0.26754162,6.4857206,-1.7289386,6.1598444
-1.7580993,-1.2177746,1.5238334,5.9627943,3.8236985,1.0165166,-1.7580993,6.471025,6.5839906,7.5752273,5.3127856,-1.1070803,2.2791486,-1.7486821,5.4399285
-1.7580993,2.3973694,4.6464806,8.326773,14.188189,2.1850374,-1.7580993,1.3803307,4.6670566,8.006916,9.880572,7.9876485,6.7666917,-1.7580565,3.450386
-1.7580993,2.7029173,4.0791626,5.532476,5.73765,-0.8376628,-1.7533782,0.24867094,-0.29685718,5.879616,3.4441543,0.7216436,1.5304668,-1.756926,-1.4204853
-1.755757,2.034443,8.605695,-0.73866904,7.7403603,1.4418908,-1.7580993,6.70719,0.51483554,11.5758505,2.4646583,4.8802605,3.6071348,-1.7580988,5.3979936
-1.7580941,0.82563674,8.542903,1.9167533,10.228856,0.76757175,-1.7580993,6.6128016,2.5129414,-0.6541546,6.1056,1.8377702,2.9671838,-1.7579898,9.966873
-1.758059,3.8825402,7.016673,-0.5036254,10.98583,3.9387026,-1.7580993,2.33468,0.5689819,9.563411,7.776568,4.344248,7.1587563,-1.7580848,5.2269464
-1.7580993,1.4357017,10.421966,5.98469,3.9153163,1.8324062,-1.758098,3.0745595,3.2111058,3.8876457,5.5102344,1.080295,9.919446,-1.7399102,3.6619568
-1.7580993,3.55737,6.6939316,0.91761976,18.263456,4.9773135,-1.7580993,0.2949904,1.3558927,4.3862658,7.0622535,6.751823,9.121235,-1.7580968,6.8276196
-1.7580991,6.658477,8.948993,-0.1378301,18.390165,4.013545,-1.7580993,1.922221,3.0848541,5.2989836,9.6882305,7.5335975,7.2613845,-1.7580988,6.156245
-1.7580993,-0.9799436,3.378483,3.136257,4.150414,0.18341598,-1.7563782,1.2628615,0.27129212,7.2857747,5.2674274,1.3990486,0.23174046,-1.752717,1.6405318
-1.7565479,1.1708865,3.9780238,3.503481,2.1973374,2.393422,-1.7580625,5.0853143,2.784891,7.78481,2.583787,3.052624,1.9084179,-1.7567375,5.5267386
-1.7580993,4.385764,10.603121,1.1309266,8.136988,4.0116,-1.7580993,12.838619,-0.7085128,15.788188,11.585869,8.279252,4.4097857,-1.7580993,11.229289
-1.7534645,1.5046003,7.0965557,1.3126526,-1.459452,-0.29367992,-1.7580771,5.1092873,0.6941491,2.8638756,4.9126143,4.8582997,1.6669247,-1.5211631,2.0183318
-1.7522837,1.2854784,3.2819784,4.2437778,5.0571494,1.8053397,-1.7580993,2.8284118,-0.7384039,4.647501,6.4586163,3.438037,8.026798,-1.7425035,8.207031
-1.7580993,1.65818,5.319111,6.6985273,6.688579,2.1927333,-1.7580993,-1.2516286,7.395967,0.5467681,6.5584803,0.25766852,1.8173788,-1.7577627,3.3131936
-1.7542167,3.5238767,3.3713326,6.104532,5.0574665,0.5511736,-1.7580993,3.2246175,8.491676,4.6990237,5.022572,3.9210713,5.4727373,-1.7018744,2.8629997
-1.7481297,0.15278855,5.9839683,1.0271832,3.0581899,4.624406,-1.7580191,5.4178166,0.9007048,4.1153803,1.5138187,2.5514202,1.2014661,-1.5605236,5.860238
-1.7577102,2.9766557,5.2928896,-0.42162487,8.364583,5.5040927,-1.7580993,4.3565736,1.7532346,6.368321,6.9674215,1.4831262,7.097497,-1.7554668,4.3880095
-1.7580993,6.9033837,5.1723714,1.7323155,9.058743,7.6494923,-1.7580993,-0.37033466,0.8768327,3.0118213,3.1096578,3.5237365,7.0566096,-1.7580467,3.7936811
-1.7098905,3.476787,3.2480617,4.7151446,7.3270307,0.44514212,-1.7580993,7.331124,2.932266,1.8744593,5.0156364,2.212194,6.558548,-1.7405477,6.1314507
-1.7580993,2.3886895,4.3242426,6.1297417,10.656169,3.2232094,-1.7580993,1.4881543,0.09949247,1.3086927,7.471634,4.7238708,3.86614,-1.7566581,-1.4264429
-1.7580993,3.4408987,7.006847,2.1925833,18.335024,4.8899727,-1.7580993,1.1804187,1.2511301,5.530482,7.4405675,6.372201,8.6552725,-1.7580984,6.5197644
-1.7580993,0.122988984,4.0065246,6.9763503,3.1392286,1.9318771,-1.7580968,6.246688,1.6141672,2.1950064,5.8583536,1.329453,5.5243177,-1.6800057,7.3925495
-1.7580991,4.127918,0.70183665,5.8059115,12.997285,4.8043447,-1.7580993,3.7321796,0.6597904,6.523941,5.24918,5.5048013,7.194394,-1.7579662,8.764615
-1.7580993,3.4700897,0.9441707,11.68171,8.567231,0.116372176,-1.7580993,2.0347595,1.7139705,8.378745,6.817201,2.1113071,12.426804,-1.7580528,6.599945
-1.7577517,1.4604493,1.7634132,-1.1281267,6.029473,1.268648,-1.7580993,5.993285,2.1175964,7.2759485,4.8537755,1.1121694,9.298822,-1.757499,2.7428534
-1.7580905,1.678586,6.573516,1.8612313,5.2500334,4.772785,-1.7580774,4.3598814,1.1884058,7.7007866,3.2801762,1.5760816,3.7632375,-1.7578902,7.887125
-1.7580993,6.4416933,6.2099566,2.708131,11.3885355,5.1905594,-1.7580993,0.16041243,1.494138,3.1149304,5.3313093,1.7350172,9.901377,-1.7580827,6.0172296
-1.7580993,2.40511,5.2992764,4.7191496,17.163378,0.5114702,-1.7580993,1.2135385,2.8456218,4.77968,10.851819,4.7466817,10.222822,-1.7579888,4.4551053
-1.7580993,7.5508904,5.235062,2.7894206,15.707034,5.7511187,-1.7580993,1.605687,-0.6032177,5.919888,6.2881227,1.6398424,8.451669,-1.7580992,10.589153
-1.7580993,3.0485876,8.424509,1.525491,20.032173,4.780768,-1.7580993,2.3646567,0.33943623,6.742368,9.199083,4.0410404,9.995309,-1.7580985,8.945546
-1.7580913,2.321746,3.024331,2.2257755,6.509676,0.54078376,-1.7580942,4.7811766,1.0323528,6.613088,8.633896,0.40074068,5.2855515,-1.7513921,1.5459801
-1.7580993,-0.6410665,14.4072485,5.4654818,6.5534716,4.04888,-1.7580992,9.641997,-1.0105176,10.139894,6.5427914,2.1138136,0.9764584,-1.758099,1.0244576
-1.7577591,4.2547307,3.731799,3.4945629,9.529108,3.9874678,-1.7580992,2.726683,0.29174578,9.673644,5.2491927,2.2847233,6.7397976,-1.7580974,8.787848
-1.7580993,5.0282717,6.9676886,4.034232,17.967113,4.978433,-1.7580993,2.787157,1.3816342,4.7056236,9.992005,3.0429368,8.012796,-1.7580976,7.596724
-1.7580992,7.5393143,5.1977196,1.812497,10.534432,3.074258,-1.7580993,2.1179488,2.185759,3.0807717,4.515706,3.0103467,10.171486,-1.758034,4.8240223
-1.7580993,7.433455,2.9790964,1.3573428,18.175522,6.3023076,-1.7580993,3.2545307,2.3787045,5.087538,8.898327,2.4286804,9.272983,-1.7580879,5.890809
-1.7580993,2.223917,7.1563687,0.20903301,12.910605,4.4771028,-1.7580993,0.6036647,1.185655,4.465023,0.9935836,1.0326406,6.095699,-1.7580591,4.8739977
-1.7580993,-0.3567765,3.5064938,-1.1542677,5.124735,3.1659153,-1.7580993,0.6088708,3.1574934,9.603716,3.5146842,-0.04316588,5.976979,-1.7459866,4.250582
