,cas_number,vapor pressure,temperature,substantivity,percentage
3004,106-24-1,0.021,25.0,60.0,100.0
3010,42822-86-6,0.001,25.0,20.0,100.0
3011,24237-00-1,0.186,25.0,0.5,100.0
3016,68804-02-4,0.006,25.0,264.0,100.0
3038,53498-32-1,0.076,25.0,89.0,100.0
3039,105-87-3,0.026,25.0,24.0,100.0
3043,3796-70-1,0.016,25.0,192.0,100.0
3045,94-48-4,1.7e-05,25.0,0.5,100.0
3046,106-29-6,0.001,25.0,88.0,100.0
3047,2345-26-8,0.002,25.0,9.0,100.0
3050,56172-46-4,0.001,25.0,51.0,100.0
3056,105-86-2,0.015,25.0,24.0,100.0
3058,10032-02-7,0.000138,25.0,17.0,100.0
3064,61792-11-8,0.009,25.0,400.0,100.0
3066,68213-87-6,0.004,25.0,312.0,100.0
3067,65405-73-4,0.004,25.0,312.0,100.0
3068,71648-43-6,6e-06,25.0,336.0,100.0
3069,102-22-7,6e-06,25.0,0.5,100.0
3070,105-90-8,0.003,25.0,76.0,100.0
3072,7785-33-3,0.000332,25.0,0.5,100.0
3075,109-20-6,0.001,25.0,0.5,100.0
3110,5405-41-4,0.362,25.0,4.0,100.0
3114,67674-46-8,0.214,25.0,2.0,100.0
3118,68480-11-5,0.014,25.0,12.0,100.0
3120,68398-18-5,0.149,25.0,53.0,100.0
3134,92585-24-5,0.003,25.0,348.0,100.0
3138,88-41-5,0.103,25.0,8.0,100.0
3141,66327-54-6,0.005,25.0,116.0,100.0
3142,50607-64-2,4e-05,25.0,400.0,100.0
3143,188570-78-7,0.086,25.0,0.5,100.0
3144,4359-47-1,0.453,25.0,0.5,100.0
3145,56011-02-0,0.037,25.0,32.0,100.0
3146,82784-84-7,0.258,25.0,20.0,100.0
3147,5435-64-3,0.14,25.0,5.0,100.0
3149,68039-39-4,0.002,25.0,144.0,100.0
3158,90-05-1,0.179,25.0,280.0,100.0
3172,4112-89-4,3.3e-05,25.0,400.0,100.0
3177,134-28-1,0.000134,25.0,332.0,100.0
3188,7306-12-9,0.002,25.0,24.0,100.0
3189,536-50-5,0.085,25.0,20.0,100.0
3201,18138-04-0,0.515,25.0,4.0,100.0
3219,120-57-0,0.003,25.0,212.0,100.0
3220,326-61-4,0.005,25.0,400.0,100.0
3221,55418-52-5,0.002,25.0,400.0,100.0
3223,5461-08-5,6e-06,25.0,70.0,100.0
3224,40527-42-2,0.008,25.0,88.0,100.0
3232,3301-90-4,0.08,25.0,156.0,100.0
3233,105-21-5,0.083,25.0,400.0,100.0
3236,1708-34-5,0.654,25.0,7.0,100.0
3244,111-70-6,0.325,25.0,12.0,100.0
3255,18492-65-4,0.123,25.0,6.0,100.0
3263,1708-81-2,0.579,25.0,2.0,100.0
3266,6191-71-5,0.375,25.0,8.0,100.0
3271,1576-78-9,0.404,25.0,2.0,100.0
3277,112-06-1,0.51,25.0,6.0,100.0
3280,5870-93-9,0.09,25.0,6.0,100.0
3295,2435-16-7,0.19,25.0,4.0,100.0
3301,54546-26-8,0.33,25.0,0.5,100.0
3302,61699-38-5,0.004,25.0,68.0,100.0
3303,3608-11-5,0.048,25.0,28.0,100.0
3305,24691-15-4,0.852,25.0,2.0,100.0
